2023.04.15 23:20:44,712	INFO	1	org.l2jmobius.commons.database.DatabaseFactory	Database: Initialized.
2023.04.15 23:20:44,743	INFO	1	org.l2jmobius.loginserver.LoginController	Loading LoginController...
2023.04.15 23:20:45,064	INFO	1	org.l2jmobius.loginserver.LoginController	Cached 10 KeyPairs for RSA communication.
2023.04.15 23:20:45,118	INFO	1	org.l2jmobius.loginserver.GameServerTable	Loaded 127 server names.
2023.04.15 23:20:45,120	INFO	1	org.l2jmobius.loginserver.GameServerTable	Loaded 1 registered Game Servers.
2023.04.15 23:20:45,166	INFO	1	org.l2jmobius.loginserver.GameServerTable	Cached 10 RSA keys for Game Server communication.
2023.04.15 23:20:45,168	INFO	1	org.l2jmobius.loginserver.LoginServer	Loaded 2 IP Bans.
2023.04.15 23:20:45,169	INFO	1	org.l2jmobius.loginserver.LoginServer	Listening for GameServers on 127.0.0.1:9014
2023.04.15 23:20:45,402	INFO	1	org.l2jmobius.commons.network.NetworkManager	ClientNetworkManager: Listening on 0.0.0.0:2106
2023.04.15 23:21:13,576	INFO	40	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2023.04.15 23:21:13,577	INFO	40	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2023.04.15 23:21:13,577	INFO	40	org.l2jmobius.loginserver.GameServerThread	192.168.80.1/192.168.80.0/24
2023.04.15 23:21:13,577	INFO	40	org.l2jmobius.loginserver.GameServerThread	192.168.174.1/192.168.174.0/24
2023.04.15 23:21:13,577	INFO	40	org.l2jmobius.loginserver.GameServerThread	169.254.138.222/169.254.0.0/16
2023.04.15 23:21:13,577	INFO	40	org.l2jmobius.loginserver.GameServerThread	192.168.1.101/192.168.1.0/24
2023.04.15 23:21:13,577	INFO	40	org.l2jmobius.loginserver.GameServerThread	1.171.203.32/0.0.0.0/0
2023.04.16 09:02:48,859	INFO	40	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Sieghardt: Connection lost: Connection reset
2023.04.16 09:02:48,860	INFO	40	org.l2jmobius.loginserver.GameServerThread	Server [2] Sieghardt is now set as disconnected.
2023.04.16 09:03:55,737	INFO	163	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2023.04.16 09:03:55,737	INFO	163	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2023.04.16 09:03:55,737	INFO	163	org.l2jmobius.loginserver.GameServerThread	192.168.80.1/192.168.80.0/24
2023.04.16 09:03:55,737	INFO	163	org.l2jmobius.loginserver.GameServerThread	192.168.174.1/192.168.174.0/24
2023.04.16 09:03:55,737	INFO	163	org.l2jmobius.loginserver.GameServerThread	169.254.138.222/169.254.0.0/16
2023.04.16 09:03:55,737	INFO	163	org.l2jmobius.loginserver.GameServerThread	192.168.1.101/192.168.1.0/24
2023.04.16 09:03:55,737	INFO	163	org.l2jmobius.loginserver.GameServerThread	1.171.203.32/0.0.0.0/0
2023.04.16 09:04:09,680	INFO	163	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Sieghardt: Connection lost: Connection reset
2023.04.16 09:04:09,681	INFO	163	org.l2jmobius.loginserver.GameServerThread	Server [2] Sieghardt is now set as disconnected.
2023.04.16 09:05:47,001	INFO	164	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2023.04.16 09:05:47,001	INFO	164	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2023.04.16 09:05:47,002	INFO	164	org.l2jmobius.loginserver.GameServerThread	192.168.80.1/192.168.80.0/24
2023.04.16 09:05:47,002	INFO	164	org.l2jmobius.loginserver.GameServerThread	192.168.174.1/192.168.174.0/24
2023.04.16 09:05:47,002	INFO	164	org.l2jmobius.loginserver.GameServerThread	169.254.138.222/169.254.0.0/16
2023.04.16 09:05:47,002	INFO	164	org.l2jmobius.loginserver.GameServerThread	192.168.1.101/192.168.1.0/24
2023.04.16 09:05:47,002	INFO	164	org.l2jmobius.loginserver.GameServerThread	1.171.203.32/0.0.0.0/0
2023.04.16 09:06:37,992	INFO	164	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Sieghardt: Connection lost: Connection reset
2023.04.16 09:06:37,993	INFO	164	org.l2jmobius.loginserver.GameServerThread	Server [2] Sieghardt is now set as disconnected.
2023.04.16 09:06:54,769	INFO	166	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2023.04.16 09:06:54,769	INFO	166	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2023.04.16 09:06:54,769	INFO	166	org.l2jmobius.loginserver.GameServerThread	192.168.80.1/192.168.80.0/24
2023.04.16 09:06:54,769	INFO	166	org.l2jmobius.loginserver.GameServerThread	192.168.174.1/192.168.174.0/24
2023.04.16 09:06:54,769	INFO	166	org.l2jmobius.loginserver.GameServerThread	169.254.138.222/169.254.0.0/16
2023.04.16 09:06:54,769	INFO	166	org.l2jmobius.loginserver.GameServerThread	192.168.1.101/192.168.1.0/24
2023.04.16 09:06:54,769	INFO	166	org.l2jmobius.loginserver.GameServerThread	1.171.203.32/0.0.0.0/0
